,sample
169095,9.3125
169096,14.024658203125
169097,30.152587890625
169098,18.894775390625
169099,21.1884765625
169100,16.832275390625
169101,0.209228515625
169102,23.468017578125
169103,18.66845703125
169104,14.603515625
169105,19.220703125
169106,110.7197265625
169107,7.090087890625
169108,23.362548828125
169109,21.896728515625
169110,42.25390625
169111,3.12548828125
169112,11.479736328125
169113,41.508056640625
169114,45.288330078125
169115,28.425048828125
169116,0.376953125
169117,21.071533203125
169118,45.191650390625
169119,47.613525390625
169120,76.5390625
169121,65.65673828125
169122,75.053955078125
169123,67.92626953125
169124,11.467041015625
169125,51.631103515625
169126,66.920166015625
169127,5.277587890625
169128,37.23291015625
169129,9.004150390625
169130,12.937744140625
169131,123.211181640625
169132,159.196533203125
169133,27.715087890625
169134,40.02978515625
169135,31.13525390625
169136,2.324462890625
169137,11.156494140625
169138,0.225830078125
169139,34.693603515625
169140,46.531494140625
169141,10.9736328125
169142,1.817626953125
169143,21.869384765625
169144,6.681884765625
169145,31.17431640625
169146,137.037353515625
169147,80.560791015625
169148,33.02001953125
169149,67.3994140625
169150,8.729736328125
169151,40.19775390625
169152,13.7890625
169153,19.620361328125
169154,57.64306640625
169155,71.781494140625
169156,30.9658203125
169157,28.7705078125
169158,62.897705078125
169159,5.31103515625
169160,13.39111328125
169161,46.14501953125
169162,42.17626953125
169163,70.703369140625
169164,18.863525390625
169165,39.75830078125
169166,20.705322265625
169167,6.1953125
169168,53.57861328125
169169,21.1181640625
169170,11.40869140625
169171,22.088134765625
169172,28.95751953125
169173,44.157470703125
169174,23.675048828125
169175,21.8212890625
169176,2.278564453125
169177,41.443603515625
169178,34.734619140625
169179,3.461181640625
169180,18.718994140625
169181,12.82275390625
169182,2.8603515625
169183,21.043212890625
169184,132.515869140625
169185,29.72509765625
169186,7.242431640625
169187,12.847900390625
169188,31.36376953125
169189,44.93408203125
169190,168.410400390625
169191,19.33251953125
169192,47.300048828125
169193,37.51416015625
169194,18.73828125
169195,7.562744140625
169196,10.400634765625
169197,8.56103515625
169198,30.200439453125
169199,5.767578125
169200,5.627197265625
169201,123.985595703125
169202,46.480712890625
169203,6.096923828125
169204,66.691650390625
169205,64.9814453125
169206,19.96337890625
169207,58.476806640625
169208,69.28955078125
169209,9.061767578125
169210,40.782470703125
169211,78.312744140625
169212,13.9736328125
169213,45.933837890625
169214,28.529541015625
169215,16.148681640625
169216,9.6015625
169217,54.522705078125
169218,11.901611328125
169219,47.900390625
169220,65.509033203125
169221,17.373291015625
169222,11.892578125
169223,36.0400390625
169224,137.823486328125
169225,29.470947265625
169226,20.821533203125
169227,17.0791015625
169228,26.168212890625
169229,29.6845703125
169230,108.970947265625
169231,57.322509765625
169232,14.2431640625
169233,37.9345703125
169234,0.885009765625
169235,29.8720703125
169236,54.06640625
169237,315.467041015625
169238,130.078125
169239,35.17578125
169240,45.962158203125
169241,5.057861328125
169242,54.178955078125
169243,23.97900390625
169244,5.279541015625
169245,56.52783203125
169246,81.5673828125
169247,1.05908203125
169248,131.3955078125
169249,40.450439453125
169250,9.909423828125
169251,56.084228515625
169252,55.084228515625
169253,22.45361328125
169254,29.78515625
169255,6.892822265625
169256,8.470947265625
169257,10.5283203125
169258,83.1103515625
169259,82.17578125
169260,45.038330078125
169261,4.936767578125
169262,20.954345703125
169263,12.67822265625
169264,77.434814453125
169265,40.082275390625
169266,26.57861328125
169267,77.11767578125
169268,11.094970703125
169269,127.359619140625
169270,83.295166015625
169271,44.978515625
169272,48.8408203125
169273,34.527587890625
169274,78.0478515625
